company_name,sample_job_title,last_posted,source_keyword,pracuj_profile,linkedin_company,linkedin_contact_1_IT_Manager,linkedin_contact_2_Operations_Manager
CUK Ubezpieczenia,Specjalista / Specjalistka ds. Automatyzacji Procesów Biznesowych,2026-03-28,automatyzacja procesów biznesowych,https://pracodawcy.pracuj.pl/company/18799577,https://www.linkedin.com/search/results/companies/?keywords=CUK%20Ubezpieczenia,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20CUK%20Ubezpieczenia,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20CUK%20Ubezpieczenia
AIB S.A,Specjalista/ka ds. automatyzacji AI (OpenClaw),2026-03-28,automatyzacja procesów biznesowych,https://pracodawcy.pracuj.pl/company/20159978,https://www.linkedin.com/search/results/companies/?keywords=AIB%20S.A,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20AIB%20S.A,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20AIB%20S.A
B2B.NET S.A.,Analityk Systemowy / Analityczka Systemowa,2026-03-28,automatyzacja procesów biznesowych,https://pracodawcy.pracuj.pl/company/20424689,https://www.linkedin.com/search/results/companies/?keywords=B2B.NET%20S.A.,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20B2B.NET%20S.A.,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20B2B.NET%20S.A.
Develocraft sp. z o.o.,Senior RPA Engineer,2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/20385948,https://www.linkedin.com/search/results/companies/?keywords=Develocraft%20sp.%20z%20o.o.,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Develocraft%20sp.%20z%20o.o.,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Develocraft%20sp.%20z%20o.o.
Capgemini Polska,RPA Developer (Blue Prism),2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/18804842,https://www.linkedin.com/search/results/companies/?keywords=Capgemini%20Polska,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Capgemini%20Polska,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Capgemini%20Polska
Media Expert,Specjalista ds. Optymalizacji Procesów w Pionie Finansów (k/m),2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/18802262,https://www.linkedin.com/search/results/companies/?keywords=Media%20Expert,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Media%20Expert,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Media%20Expert
Accenture Strategy & Consulting,Digital Finance Transformation - Record-to-Report Manager (ICH Europe),2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/20215729,https://www.linkedin.com/search/results/companies/?keywords=Accenture%20Strategy%20%26%20Consulting,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Accenture%20Strategy%20%26%20Consulting,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Accenture%20Strategy%20%26%20Consulting
Scalo Sp. z o.o.,IT Business Process Analyst,2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/20048614,https://www.linkedin.com/search/results/companies/?keywords=Scalo%20Sp.%20z%20o.o.,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Scalo%20Sp.%20z%20o.o.,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Scalo%20Sp.%20z%20o.o.
Arval Service Lease,Projects Coordinator & Transformation Specialist,2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/1074199374,https://www.linkedin.com/search/results/companies/?keywords=Arval%20Service%20Lease,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20Arval%20Service%20Lease,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Arval%20Service%20Lease
NASK,Analityk/czka procesowy/a,2026-03-28,RPA,https://pracodawcy.pracuj.pl/company/20011564,https://www.linkedin.com/search/results/companies/?keywords=NASK,https://www.linkedin.com/search/results/people/?keywords=IT%20Manager%20NASK,https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20NASK
